"ASV_hash","Station_11","Station_117","Station_125","Station_135","Station_145","Station_162","Station_193","Station_199","Station_32","Station_45","Station_91"
"00db8480cec62f4615eac7275c09e312",44,0,0,0,0,0,0,0,0,0,0
"012054e3f62502aff7f455e1592ea87f",36,0,0,0,0,0,0,0,435,1920,0
"01b6766d8eaa7f84d26fe60e5b5bab98",41,0,0,0,0,0,0,0,0,0,0
"01cc2516697cf1b59d3bdcdc881c233e",92,0,0,0,0,0,0,0,0,0,0
"04b10cd1270de2af05818fdc2688ee5a",43,0,0,0,0,0,0,0,40,0,0
"05fb2303e47581aee8b133439869a977",16,0,0,0,0,0,0,0,0,0,0
"07cbb4b08197efe6360e984894445b12",15,15,20,0,15,0,0,0,0,0,0
"08e6e2ec3ecfce4ac7537e6045a65395",102,0,0,0,0,0,0,0,212,0,0
"08ea302ff3a53fad279c6e08d39f921e",2123,0,0,0,0,0,0,0,9,0,0
"0bd2e49490c2c51a5094fef0a3ac86e7",466,0,0,0,0,0,0,0,1545,1573,0
"0d22b7e4a1259d36db15ecf563f64057",3381,0,0,0,0,0,0,0,1143,77,0
"0d7f13c741f17a3fa192fbf319333c7f",35,0,0,0,0,0,0,0,34,0,0
"0e1ecf529a93e4ecf3288da68e9ab5dc",4990,0,0,0,0,0,0,0,1701,293,0
"0f1f03d27f8e8824770276baea8286af",41,0,0,0,0,0,0,0,0,0,0
"0f5b5f57f441ec73fa3ae9821362fa3b",5,0,0,0,0,0,0,0,93,0,0
"0f971ca801d53b77602a90d397ef8701",18,0,0,0,0,0,0,0,0,0,0
"0fe99abc24ee860a9686ed434ecb5bd8",24,0,0,0,0,0,0,0,0,0,0
"10c55e340880ffbdba9cbd7d2a1e1572",9692,0,18,0,0,0,0,0,3603,709,0
"1152ad9aa494373443828664c73d193e",11,0,0,0,0,0,0,0,12,0,0
"1245c0867582a62a54dd411dc85f071c",4,0,0,0,0,0,0,0,0,0,0
"141ea5d51a2d59fd5a36a93d41ed5777",1,0,0,0,0,0,0,0,0,1,0
"1456ed4162ba9c260c19da6b2d924673",510,0,0,0,0,0,0,0,211,284,0
"147d7cca8d36ead695eed70980263cf2",6,0,0,0,0,0,0,0,0,0,0
"14a68b6a591aa55e2d0f081e59ed8334",7,0,0,0,0,0,0,0,0,0,0
"15949af7fbc59962388dce15963f9cec",1675,0,0,0,0,0,0,0,1255,556,0
"176243a65e5a7b0337538fe38e74eb7f",65,0,0,0,0,0,0,0,84,256,0
