"ASV_hash","Station_47"
"00388366b55dd4edf42cc2ecacc844d1",17
"006900af0aacc2afcaa54e83c8f86414",6
"00966f2b8afe3dc61b3bebf8c001ef7e",30
"00c4c1c65d8669ed9f07abe149f9a01d",1811
"00e6c13fe86364a5084987093afa1916",163
"00fa711f0a437815895e1b4cc38dc1dc",9
"01a1f21c3aa65e58c61e1006eae24437",74
"0200f6b1f2a061f4de6bdf99be9debcf",13
"021c5508cc0a176b8f550d79a56631f2",1
"024fadf9d96e6c325e8abbe3b89d2711",2
"02a24115232b57750fdad54e4e4333eb",105
"02f7e459415fee49a3231499b3f0d781",34
"031b680cda8a8971f7876aae2a4a26d7",7
"033748db867bf98952e7bdeb6ac12b8c",30
"03422dea4b5a5e0f9bcae57c3254336c",255
"0369ed25113dc257ea5bed8edc5bfd9d",110
"041c1050b674edad9b75bd2940da6aba",40
"0441cd17a1235443caa3291fe52a7cec",90
"045d98a7e4f0ed5847ae030a06b16efa",67
"04a47212749ae920d5426a2650d9f8e4",56
"04d4763d622605be9a0a2fbfc26dafd7",10
"050d75494e23ba8f5bc615df4a8a63f9",40
"06118fb2cd2d11122541c8e4e253dd81",431
"06b69ce18833c02143fee89f69ce7322",32
"06bf6b60a144f0dc843f203beda0b812",18
"0780c22c545ff02f8993b1837b08b3c5",84
"07a53c783415b6977510bb5b9c7dd0d0",43
"07e2e66cf40c8537319eb0f890ee06c9",80
"08313e9b8d8e92e731b60387a377d676",8
"0890ed476bae8eb01f15ef5fc32be5fe",3
"09304de7bcdde93714df6d4800a79b4d",15
"093f1444ae902f6e60bcb9fee55a3a80",15
"095fc9119cf3281ceeaa14bea826fc57",124
"09aff1f6cec4877b4add1d79de328670",50
"09b83b9bba43a194624197fd345f054c",15
"09c5541f881afeaa0ce6f20b29cca151",35
"09f3cd676de76ab8ae1add6f0fcc8243",58
"09fd66261cb250cf7dd51acd2ffef068",5
"0a20789820be6f787a869e03cddbc7d8",17
"0a306f379db2907fd24248137e0c5acb",40
"0a3438ada762e2ce55b6490d28ce38d5",36
"0a4a4e47925268a65cd02cd960799001",92
"0a7c959485d7c38cc32bd0b5935f76c5",4
"0aab1402e5f19567993ee8e9b5446ae7",47
"0aae395b3b70c171c8302384c6318e1f",10
"0ac80fadf450fe32140aae16df0b829d",1
"0acc75ad3011d768963ef7d0ac32ffb3",14
"0af28d922604e34ae0cadc9578073342",114
"0b1c2b9ed02095f223b442c9bdd35006",943
"0b7267ae37ab0ff526e67cf70b54d416",30
"0b7ddc30b83837d984363135258cbe6a",3
"0b8f71c6fc7d5e9ea572a0ace04ccfcf",30
"0bed9f2be5d35fcbd80bef6f3f2f83db",23
"0bf3895d8552459d9b95b53685566843",16
"0c48335f6a129462bf72c2804212883f",17
"0c598a388e812e2158ac6a42cc0ae87a",34
"0d3001c47d4f5061378d3fd000680ce9",54
"0d754b3546373fe64021cd1d8957fa91",57
"0ddf16589465c7006c6a0caef4108db2",23
"0e26d35a67af25a2b4ce071c774db4a2",443
"0e2e6ccbbf688139cd1e7766498c23af",9
"0e5915bd9df9a70a51abcfa8739f1a84",6
