"ASV_hash","Station_1","Station_11","Station_12","Station_13","Station_14","Station_15","Station_16","Station_18","Station_19","Station_2","Station_20","Station_21","Station_23","Station_25","Station_26","Station_27","Station_29","Station_3","Station_31","Station_4","Station_5","Station_6","Station_7","Station_8"
"00388366b55dd4edf42cc2ecacc844d1",15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"009d805acce40d8ce328cf5a91166985",76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,34,0
"00e6c13fe86364a5084987093afa1916",1096,0,0,0,0,0,0,0,0,527,0,0,159,0,1069,0,401,1063,0,1369,2475,365,170,0
"0144485b785a64eeca72b0d3a32475fd",69,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,53,3,0,3,4,20,37,0
"015dad1fafca90944d905beb2a980bc3",753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01c6ced840d13011d63f8fec7b016e76",180,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,449,0,242,88,0,0,0
"022b851c8bf50917781b9df41c6feb71",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"029dd32ff802446ed69aec1226f4e7be",222,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,18,0,302,0
"0314cc619ced50c8024c91e84e86598c",58,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,210,0,189,592,68,22,0
"0369ed25113dc257ea5bed8edc5bfd9d",927,0,0,0,0,0,0,0,0,555,0,0,0,67,460,0,182,926,0,410,1391,122,159,0
"03a83f33a1d6847cd2e167e7935dac97",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03ee0badd7710d137806c18a51d812b0",40,0,0,0,0,0,0,0,0,0,0,0,0,20,48,0,0,0,0,0,0,0,0,0
"0429ee85fe19627e1a4e4206969d3984",185,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"044ed004fcc7d94cc258d8c4dcedb7bf",462,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,1280,0,395,712,0,0,0
"04e2b2ab4c4d4fd0f5b46f83a7499478",126,0,0,0,0,0,0,0,0,81,0,0,25,15,55,0,37,63,0,37,97,24,126,0
"050d75494e23ba8f5bc615df4a8a63f9",192,0,0,0,0,0,0,0,0,119,0,0,0,0,187,0,0,425,0,422,363,83,42,0
"05599b3d3ba6e27a626ca33403ee8c25",482,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,12,0,15,51,80,148,0
"06118fb2cd2d11122541c8e4e253dd81",561,0,0,0,0,0,0,0,0,444,0,0,37,56,305,0,227,0,0,0,0,0,0,0
"06284982bfef856af1ceb537addac71b",70,0,0,0,0,0,0,0,104,67,59,0,2,2,22,0,18,38,0,17,33,31,34,0
"0780c22c545ff02f8993b1837b08b3c5",1529,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,694,0,0,0,0,0,0,0
"08016d7e3a4a59f30ee0eff0f5a8dbed",1,0,0,0,132,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"0926599c89a38cf227c06b0ab38f94c0",84,0,0,0,0,0,0,0,0,0,0,0,65,122,241,0,72,0,0,0,0,0,0,0
"095fc9119cf3281ceeaa14bea826fc57",14,0,0,0,0,0,0,0,0,6,0,0,44,18,202,0,111,11,0,1,1,52,186,0
"0a20789820be6f787a869e03cddbc7d8",126,0,0,0,0,0,0,0,0,0,0,0,74,0,16,0,0,0,0,0,0,0,0,0
"0a8e705656dafbdcdbf57b04b05eb1ef",168,0,0,0,0,0,0,0,0,105,0,0,0,22,301,0,99,191,0,102,258,80,136,0
"0acc75ad3011d768963ef7d0ac32ffb3",220,0,0,0,0,0,0,0,0,104,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"0aecc24d1ddaf0f623be6ea57f5406db",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b12549c5832aa2f76a523b64c7a1f01",22,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,111,0,117,469,0,0,0
"0b1c2b9ed02095f223b442c9bdd35006",2578,0,0,0,0,0,0,0,388,1806,393,0,1079,930,3701,0,968,5801,0,2710,3751,1097,1501,0
"0b9143072f57ba3b07dc8fbda6310089",94,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,23,0,0,0,0,0,0,0
"0c4f358adaa205ef24d1e086c2610882",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0dffa8247471ccd846c58a8851b9f642",17,0,0,0,0,0,0,0,0,2,0,0,0,0,135,0,36,0,0,0,0,0,0,0
"0e26d35a67af25a2b4ce071c774db4a2",69,0,0,0,0,0,0,0,435,0,458,0,414,295,1397,0,161,0,0,0,0,0,0,0
"0e775fc1584ed21db02c44461c5e120e",12760,0,0,364,334,2940,3670,6270,9478,8138,7951,0,6025,3712,14916,0,5983,22566,4385,10423,14276,7356,9414,0
"0e83728f7ad4609c0503c725c0ca4881",3027,0,0,0,567,0,0,0,0,740,0,0,1907,3493,13040,0,2965,1562,0,2176,3917,2086,5981,0
