"ASV_hash","Station_1","Station_10","Station_11","Station_12","Station_13","Station_14","Station_15","Station_16","Station_17","Station_18","Station_19","Station_2","Station_20","Station_21","Station_22","Station_3","Station_4","Station_5","Station_6","Station_7","Station_8","Station_9"
"00006f0784f7dbb2f162408abb6da629",17,110,384,16,57,15,497,150,265,2883,42,79,202,186,1194,29,0,0,26,77,0,56
"00e6c13fe86364a5084987093afa1916",142,688,1098,301,229,212,292,304,291,157,615,112,379,124,90,189,198,775,455,848,895,1199
"012df664537b445d7e50eacafcfeb542",11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0
"01b4e3adf78abba0fe9db61e41b4a021",7,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,8,0,10,8,6
"02215af727c23ed49720159526ff2077",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02a24115232b57750fdad54e4e4333eb",541,74,83,26,0,13,66,29,0,0,18,134,156,76,35,44,17,51,0,0,0,0
"02e8020ee4564ca37a327cb657bc30b7",63,6,0,0,0,0,74,0,19,0,0,0,80,36,0,0,0,10,3,0,0,0
"0369ed25113dc257ea5bed8edc5bfd9d",72,240,260,218,33,75,139,264,250,119,265,0,118,50,0,0,0,196,203,522,475,308
"043c3e904f20d0ae3be1485358949813",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04a47212749ae920d5426a2650d9f8e4",1086,0,0,0,0,0,0,0,0,0,0,373,0,19,47,263,77,199,40,18,0,17
"04b7f8c21d65d618c71f05db66ba4d5f",8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"04c7824b6c5fe9ee3329555020c88642",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"056e8dc2b4e9a1253a53d9dca9531da6",111,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"0698523fa266f30d2a9e0928c891d6e7",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0780c22c545ff02f8993b1837b08b3c5",40,117,30,121,83,43,148,117,131,87,92,201,162,53,0,437,316,1011,476,672,427,547
"0788cb2c4edfdc3dd1c066fc60569c30",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"078a4b2634fe2074777b35aaf299c431",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07f0eb9f6a02aaf7226ba48c35f29934",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"081ddff84ee4223899638eb0a84c939b",20,6,0,7,16,16,0,0,0,0,0,23,0,0,0,0,0,19,6,15,16,19
"0822ee867544cdbd9001655d14571024",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0823a5f0642ae395d9ceefb003f68904",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"087360e58d6a624e97294447849ec2cb",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08852155e24bff1ea8fb98c39a65fc52",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08862b9f1ea3b1941c197ece8cd1e0e6",132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"090bf6c0cec370fcf85a33c0562193bc",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0926599c89a38cf227c06b0ab38f94c0",131,78,42,0,26,10,20,0,97,32,112,21,23,7,0,23,33,62,9,39,32,63
"09304de7bcdde93714df6d4800a79b4d",6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0
"09632f8ca7b44240fa7c7335a8dc2c78",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0974288d8cdf65b463930959b48fe125",55,55,80,0,0,0,0,43,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"098148fd37c4e150eeb8daae24b7faa5",3,15,14,0,0,0,0,5,8,4,11,0,4,0,0,7,0,4,8,0,6,4
"09a19f2cffb60a78a68787da1da09c93",23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
