"ASV_hash","Station_1","Station_10","Station_11","Station_12","Station_13","Station_14","Station_16","Station_17","Station_18","Station_19","Station_2","Station_20","Station_21","Station_22","Station_23","Station_24","Station_25","Station_26","Station_27","Station_28","Station_29","Station_4","Station_5","Station_6","Station_7","Station_8","Station_9"
"0153e0d434f3c609249b0a651ad8db16",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01770ea2fb7f041c787e5a481888c27e",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,27,0,17,0,0
"0293e7dd77aa94e17e4d7d07cf8a2049",43,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,80,134,130,33,0
"02f958a986eaec38e427007101c2a413",64,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,53,140,46,96,0,0
"03f391af11244396b4118d862f31e5ee",162,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"0455b77801a77573066cec6543666c56",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"065f718c0519522661f2d3b088f3bdee",753,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0
"075ae4ee7637c8107e88a0666b26c307",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0930e7168e87f3bf47a0d207a9ffb545",19,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"0945baf98d8d4159ce40cfccef2e7c85",57,0,25,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,46,0,0,93,56,0
"09cc5b082b694c6970886bf880ddd4a8",5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b77437ecf970ca526107c00dd8c3acd",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"0bd2e49490c2c51a5094fef0a3ac86e7",300,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,109,185,185,28,0
"0c9486e4dc7372c12536d98f4c54ae58",184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0
"0d22b7e4a1259d36db15ecf563f64057",620,0,0,0,0,0,0,0,0,0,2216,0,0,0,0,0,0,0,0,0,27,1147,466,49,488,0,0
"0d754b3546373fe64021cd1d8957fa91",6,2467,441,412,355,70,0,66,0,0,40,0,0,0,0,0,0,0,0,0,0,32,240,271,151,43,845
"0e1e33b4a535112a91caf89516eadd81",41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,18,79,90,40,9
"0e1ecf529a93e4ecf3288da68e9ab5dc",1725,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,1712,106,21,0,0,0
"0fa8893c5fd1d292eaf4903ec45397e2",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109b2a46212e4e984af60ce4ced8d36b",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1152ad9aa494373443828664c73d193e",1576,0,0,0,0,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,160,203,0,0,0,0
"11e95c7931de48ce624f86cc9cea97f3",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"11f446b7b37cdcb53b1dcde5a188269f",9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"12d3e0a57779315375af7d47a9e4d90d",8,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12f57801dec39026f814612203f14037",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1337fdc6c95b41ecf5a2b1163fe41ae1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1456ed4162ba9c260c19da6b2d924673",284,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,43,9,0,0,0,0
"1489aa8588508a765fa17ca2f931325f",27,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14e686d26a331cb38a93a3df90db212f",90,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0
"15949af7fbc59962388dce15963f9cec",2288,0,0,0,0,0,0,0,0,0,2582,0,0,0,0,0,0,0,0,0,0,364,473,0,0,0,0
"15d1cf0e7ab434330e069473922627ca",40,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,62,6,0,0,0,0
"16367da666d3d04445522eddaa5bfa8f",13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"17c0e917d4a8acd66d18b1d03ed898b4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190a834f442ff3e8855c22f671370722",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1959251eaacc038eb78162a61d61df8b",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
