"ASV_hash","Station_1","Station_2","Station_3","Station_4","Station_5","Station_6","Station_7","Station_8"
"0021da5e24a76f1d7754222e977e2c4e",23,139,96,47,720,129,0,0
"02844e36bfee71a127da3fed7d8be4c4",281,497,0,0,0,0,0,0
"07f54c9e14fc423ac567dd58e20ecc44",2,0,0,0,0,0,0,0
"08ce4efd581f44f5197d8e466f2c43b9",27,63,48,0,0,0,0,0
"095c9ee966aca15102e6b84b496ce167",4,0,0,0,0,0,0,0
"0a4a01bdbd6a0a58afc4ec367738da4c",15,0,0,0,0,0,0,0
"100d0e7836efee2ac20420281a8fbd97",146,171,0,0,0,0,0,0
"11b93f2ddd63223913215e0edd0ae197",5,0,0,0,0,0,0,0
"134d89fd8f923621f3cb6edc712470a7",36,0,43,27,0,0,0,0
"1372fdf46e20b8f1b48159d6f436a522",38,0,0,0,0,0,0,0
"15eae11a1ac4cff7d9f3f0932087244e",103,123,12,0,0,0,0,0
"16865e7a560354a65bd82f9d47a793cd",97,0,94,99,0,0,0,0
"1763013abf58682523843a8638ee027f",133,164,648,923,82,123,0,0
"1a4417c7e055810790ab2c0cdf8a9821",668,494,1841,3788,2493,4540,318,0
"2103d47eb972e09e56ce313418f80dd2",136,62,0,0,0,0,0,0
"23aecfb8fccb1b0a9ab5d06aaf872927",15,0,117,105,0,0,0,25
"255d48644a80d94ad3b75e44fbe1c71b",9,0,0,0,0,0,0,11
"260a412ffd0f8497f7762b1f7d83de72",8,0,0,0,0,0,0,0
"27f3f3e2247c15b54b2d798380f7ec62",84,64,298,387,175,451,720,483
"284418684dc60ceab5e4a7e3c4cfc424",7,0,0,0,0,0,0,0
"2bd78d319605af225f3fe23f65b7a4f6",191,237,0,0,115,1090,1204,0
"2ea446964c8c52ab261270ab2a66bcbf",198,315,518,1103,91,240,747,1319
"30c614adb3174bfe00e0d441dc685826",26,0,0,0,0,0,0,0
"34de7d46e76358cf3c1be328178050d2",49,0,0,0,0,0,0,0
"364ee1c544995cf21012f21565eec36e",666,247,29,0,0,0,0,0
"3dc67c899286f572040f42e38ab8c909",15,24,0,68,0,0,0,0
"3f7614f2da2c08e79a5a7fdd0dc0fcdf",456,927,0,0,0,0,0,0
"4446b6d586d29a4cd35f7b19aaa631a6",35,74,89,0,0,0,0,0
"45441f4aec8aa7c787cfcb1ddcceb7c2",4,0,0,0,0,0,0,0
"496592d583d3206684e8ae32b9c0e58e",76,0,0,0,112,0,0,0
"4b1afcb6758e35ebfc58092b3272c2ca",7,0,0,0,0,0,0,0
"50252ce948a7190eb93465ca66c04fd5",21,0,30,61,9,0,0,0
"51127923a4d3ad3df4e472490fc67135",48,0,67,0,0,0,0,0
"539591ca0b1ccba1670b9d2119c07091",18,0,6,0,0,0,0,0
"5460b418cb5aa0ed6c1a4b91e42b17be",102,0,486,627,191,800,0,0
"5467cf66abc9360477e00b76569aa39f",32,106,0,0,0,0,0,0
"54abf20edeea07f7ee872d7722e23ee5",44,55,0,0,0,0,0,0
"5a450f0654075316374185a0b569fe9b",533,569,1164,1587,676,633,722,1299
"5b4882cc0717baedb3998ac9c6a13f3d",13,0,0,0,0,0,0,0
"5d02c1e4929234015913aedfef190949",29,7,0,0,0,0,0,0
"5eb9ede2c49be939dd0591e97d52b13f",85,55,0,0,0,0,0,0
"60cf7ea17dfbe2f826829c2208523552",7,0,0,0,0,0,0,0
"62b064cac06ac0d440722e10e3f9514d",10,0,0,0,0,0,0,0
"632f23e4cb378345141065bf9cd7ada7",5,0,0,0,0,0,0,0
"66fbce529a756238fb5c92f49ca98716",114,0,0,0,0,0,0,0
"67e69cdbc3ed155519c79a2f4272aaa2",81,92,120,309,80,67,0,172
"6a089670346628aeb48c00c034f2de5b",15,0,0,0,0,0,0,0
"6cf1910034583c319c18acf595a75013",77,136,0,0,0,0,0,0
"700f1d4a2a924615078f4ff0300dce64",45,0,0,0,0,0,0,0
"746f079ac0344f6df085dcc9647e2245",15,0,0,0,0,0,0,0
"750e754e92dbdcd70dc8808b6236ac3a",23,36,0,0,0,0,0,41
"7a8eb3cdab75fee397cb06893c77bfc8",114,0,0,0,0,0,0,0
"7c8e4b4b1066e22f3ea94c82897d084f",53,0,0,0,0,0,0,194
"8039e0880ef1a50dbabe19b6b7397ca7",81,0,0,0,0,0,0,0
"815faa4c45870e0dec67577a2ca2d545",75,0,0,0,0,0,0,0
"81e99a22162c794375c9a430a6781e1c",2,0,0,0,0,0,0,0
"840d98106ed9ffe49e53953e12c307fb",58,0,0,0,0,0,0,0
"841ae379877e31013f8fbef822fae2db",213,240,0,0,0,0,0,0
"8be11993fc9aa8086201bbcbb5324eb3",48,17,0,0,0,0,0,0
"8bf4affb8e291dca7db0d1f25263b131",49,0,0,71,0,43,0,0
"8f0992dc4d260d95a597090fb4388d27",28,0,0,0,0,0,0,0
"8fe80a498043d433c74f583307188fe1",14,0,0,0,0,0,0,0
"95aa22db0d71ecf2a2c1ab7b07ed637a",37,0,0,0,0,0,0,0
"97568989e5c6dfdeb0c5cdf147818e59",5,0,354,0,32,0,0,0
"9e15b99eb052f9306f888de1910f3c31",12,0,0,0,0,0,0,0
"9e6ca1f695da65da0db91b1223400279",88,145,0,0,0,0,0,0
"a1a9e9a3795a99ab430bdbd7537b2393",71,0,0,0,0,0,0,0
"a38e07939d69ac765b730dcf108d66a9",42,0,0,0,0,0,0,0
"a57531da92a43f5d8858c7de6d696896",53,17,13,0,186,318,132,58
"ac49d5f417a627e237c1df37b73d2d58",276,197,131,0,0,0,112,0
"afe2a9125e3916824716d2c736cdcf7f",11,0,0,0,0,63,90,68
"b1a452d5986b534559918a500c632965",5,0,0,0,0,0,0,0
"b47687332e306ae83ae028ac5d1c9a9e",12,0,0,0,0,0,0,0
"ba8b6899674ebe1b49ac20933a4b29c1",22,65,338,137,59,32,16,0
"bb2fbf0dea8867860eed84950d188261",103,0,0,0,0,0,0,0
"bbbb9b17d241456841f66e8a1c64b484",281,0,0,0,0,0,0,0
"bc7707e260453b01c2fd99554a5e3190",86,0,0,0,0,0,0,0
"bd72b7bacb9c63ae0e4efe9ee489eb08",94,0,53,201,64,125,22,186
"bdef40253b51de6e3a02a3c09cf28663",10,0,0,0,0,0,0,0
"c21b5586a3882e416dfff0e656fa4a2c",5,0,0,0,0,0,0,0
"c6c9d0eddea4f44ffe34999ab204c32e",15,0,0,82,0,0,230,653
"cb310a77ecae2f57e3bb9aa57135cb38",19,0,0,0,0,0,0,0
"cbb080c36188d1bdfcddc491d9c40c5d",139,0,0,0,0,0,0,0
"d16704e8680de20abfec20ccafb60efd",35,0,0,0,0,0,0,0
"d28ae8fe824996c4c8526907a29b63c7",5,0,0,0,0,0,0,0
"d39a1a5ac15e598528d94dc92f9c64b7",85,0,0,0,0,0,0,0
"d5eaa389f526e5d0c71a609c0ffba28f",67,0,0,0,0,0,0,0
"da7860c2a58e2a1c4695228366a86244",148,0,30,25,0,0,0,0
"dc3118aed4bdf79ae172770a384d4842",32,0,0,0,0,0,0,0
"e74da0bd697c581d318f2c9ccd81a0a4",21,0,0,0,0,0,0,0
"e9081abc2b8fea7f6fe9a56f76d7e0bc",71,0,2034,140,37774,14674,105,0
"ec961d625ed277371763c50a5168699e",18,17,0,0,0,0,0,0
"ee36b24bb796dbb45a03d738da608159",29,0,0,31,0,0,0,0
"f081226bb8c7fd1f54d312371445a8f7",10,0,0,0,0,0,0,0
"f8e46fe61c324fa785dc98462d7447d1",7,14,0,0,0,0,0,0
"f90b1bf6003dbc2415142f65842c5204",565,0,104,237,0,195,0,0
"f9a37a00f4c2008c0471f022db4ee000",208,0,0,0,0,0,0,0
"ff95ae428aec81d9cf2ecee196ad1bf4",30,0,0,0,0,0,0,0
"ff9ed165c4c162854f6f38de9720e505",31,0,0,0,0,0,0,0
"00b5cc03c6aecb6284ac2d7fd065eba7",0,4,0,0,0,0,0,0
"02a2d22bc7e175690a016dd4b577c6e0",0,32,0,0,0,0,0,0
"03f5ef76a5a72c709cfbc548bef7046d",0,9,0,0,0,0,0,0
"0b28e149dee6dcfecae4e4009ccb6d3a",0,44,55,0,0,46,0,0
"0d24ed3aa5dac11a25a099717066e722",0,310,0,0,0,0,259,0
"0eef60da3afcad0465c304e492ad3673",0,23,0,0,0,0,47,0
"0f19b273dc53e4b274045a3ec25fdf13",0,42,0,0,0,0,0,0
"0f1aa17b87ff033aa2b20f4811fd429d",0,19,0,0,0,0,0,0
"0fd45137b71e532d06e224a357de6845",0,677,0,0,0,0,0,0
"176026d273fcb516a42831f01c8e5fe4",0,11,0,0,0,0,0,0
"19c19bb993d300889cdd53063f2cce8f",0,24,60,133,0,7,52,39
"19d5bfd0fee033c4e405184356764f09",0,100,0,0,0,0,0,0
"1b034e2b893fe8ee0b9d793c2ed68e56",0,132,0,0,0,0,0,0
"1b5cab98e4f7c4c34a71f51614b5aa90",0,223,715,660,87,0,137,38
"1c4e71226ce24eaef2eed8c0936dcf4f",0,12,0,0,0,0,0,0
"1cda712be3dd4f540f1bd46d6046ef7d",0,48,0,0,0,0,0,0
"1e5e392137d4439de9aa1c50c229804b",0,7,0,18,0,0,0,0
"21f016fcc2093a9d5ff8bc1415a053c1",0,33,62,58,55,28,45,48
"22bfb9ad8e61601139a21f8dc823b620",0,46,0,0,0,0,0,0
"23745e29ffa8cd08adbf7b30781359a2",0,109,0,0,0,0,0,0
"25e2d4aee0453680cb9acd38ed953f5b",0,44,0,0,0,0,0,0
"2850d87a196e583776ea46417e7407cf",0,112,0,0,0,0,0,0
"28a44415a17df9e5ff0bce5a9801cadb",0,13,0,0,0,0,0,0
"29e712e23af8e407aec0357343a13fdb",0,47,0,15,0,0,86,0
"2c8864d4100bfab816701e82c28c26d9",0,36,0,0,0,0,0,0
"2d66db6fc3ba11123df876eb184b09cf",0,81,50,30,0,0,0,0
"2dfbe8b4e1f10ab108190246d190a084",0,38,0,0,0,0,0,0
"2f80f1c151db817fe820f5c835c3de50",0,204,0,0,0,0,0,0
"2ff9213bea3379b613fd5ebacb0cc137",0,60,0,0,0,0,0,0
"336db56233c123301dcbf9e54bd850e1",0,3,0,0,0,0,0,0
"33d32f267612c8e85b6469b1f664f261",0,49,0,0,0,0,0,0
"347c038d597789cdbb18790e1b4d4d8a",0,3,0,0,0,0,0,0
"3848ece4ff5a7d1a097c6af8d25c6bb8",0,4,0,0,0,0,0,0
"38cc1e7622df1baef9eca7f09dd3e875",0,358,1066,1281,0,365,415,589
"3a53e5152803901c6a8a9a9d7734c2dc",0,18,0,0,0,0,0,0
"3b3e727bfcb74113377802cef5db1eb3",0,41,7,0,0,0,0,0
"3da38936643846e568e5635fd3ad1545",0,11,0,0,0,0,0,0
"40a60273f9d47f5fb3718eb1746011ae",0,43,0,0,0,0,0,0
"41088c678c3746a0dd560a90eb0c5f45",0,7,0,0,0,0,0,0
"41419a3fff82b71e858d045785e45ab5",0,252,0,0,0,0,0,0
"42f645698fa2a9f0c961ef3df271300a",0,59,277,686,108,69,208,482
"43a812882d9e939a268bd2be935e4d5a",0,27,0,0,0,0,0,0
"43c06da53917c3152435a8065ba03c6e",0,27,0,0,0,0,0,0
"4462ade9bb8c56fa404be6ac9fdb78c5",0,31,0,0,0,0,0,0
"46808e37dc751b3f06f88e79e61d5e19",0,6,0,0,0,0,0,0
"473b2cb83f5bab191bd122bacded9ece",0,36,0,0,0,0,0,0
"47e9514900b72c16a49276f36b2b825a",0,178,138,0,0,0,227,0
"4c673a45f16b18646e1f32e51c9cb7a6",0,31,0,0,0,0,0,0
"4d6afe22c83b60e6fd0aad9ba717206e",0,4,0,0,0,0,0,0
"4e265ec8428d120a4eef4515c36c2c17",0,11,39,0,0,0,0,0
"51c2c1c73cf27f6a43f57f9a911c35cc",0,28,0,0,0,0,0,0
"520a6f483a96c8a689f70e5d9efd099f",0,38,78,32,0,18,126,56
"533282149bb07019c6a76dac796feb46",0,42,0,0,0,0,0,0
"5475653e72954bfba7df4869ff4daa65",0,5,0,0,0,0,0,0
