"ASV_hash","Station_1","Station_10","Station_11","Station_12","Station_13","Station_14","Station_15","Station_16","Station_17","Station_18","Station_19","Station_2","Station_20","Station_21","Station_22","Station_23","Station_24","Station_25","Station_26","Station_28","Station_29","Station_3","Station_30","Station_31","Station_4","Station_5","Station_6","Station_7","Station_8","Station_9"
"0021da5e24a76f1d7754222e977e2c4e",6,22,7,0,6,0,9,7,11,8,11,0,6,29,28,4,5,14,7,30,0,7,0,73,0,0,0,0,0,0
"1372fdf46e20b8f1b48159d6f436a522",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,0,0,0,0,0,0,0,0,0,0
"174b031c22c9f0fc92202b844d126e1c",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,9,0,0,0,0,0,0,0,4,7,0
"1ae265a060a1ff610ac4698f80ad9df8",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ec4d275e80b72034428575720e6ed45",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2754f8145001f59f68a3e6943834c866",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289ad5c58063d28e35d4c17c69802d1e",11,0,0,0,0,0,0,0,7,0,0,0,9,4,0,0,5,6,0,35,0,0,0,0,3,0,0,0,0,0
"2ab6c7ec1fce408b610ee1a7c6e8ee48",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2bd78d319605af225f3fe23f65b7a4f6",134,127,85,0,77,0,0,34,61,82,102,87,90,122,107,141,94,286,170,624,98,106,0,123,75,0,76,112,90,0
"2e5311f340ea3e5609b2a7fb789a72b6",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30a6c4b3119db2c38e80cd632cd5bba5",3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0
"315d41db68712ab931074215be118837",8,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33d9f2b988c2889b8f0d9218eb30e1b1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3875d2ac6ac4802cb5d87417e7ac991e",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,28,30,0,0,0,0,0,0,0,0,0,0
"39264f8ce89598e6b547079e51b1654d",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"398bc4bed58b1799b573fe03a554862a",57,49,0,0,0,0,0,0,46,38,0,0,0,35,70,47,56,45,50,111,0,24,0,57,0,0,0,23,116,0
"402cc8859868dbc873686fdf6362fe3b",6,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,3,0,0
"43d9624d68344e220ba5efa26f685ffa",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"4b63faf022e3195f58803afb78777236",18,0,0,0,0,0,21,0,18,0,6,0,0,17,25,0,0,0,0,42,0,0,0,34,0,0,0,0,0,0
"5263310284bb210da786fea517ecc97c",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,95,0,0,0,0,0,0,0,0,0,0
"571ae83812e47618c228780408e4f038",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
