"ASV_hash","Station_1","Station_10","Station_11","Station_12","Station_14","Station_16","Station_17","Station_18","Station_2","Station_23","Station_3","Station_33","Station_35","Station_4","Station_5","Station_6","Station_7","Station_8","Station_9"
"00ebab41c26a36f67f92bb184d9cecce",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01780661b222a9e712fac8cd8d382ae2",3,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"03429b15fc0e3dfe260723b9a901716f",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04c4e4fd2d73f574b32d184a4f95c3c2",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0895d9089402849d296f5744c570706a",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08b69e2636a778a893903432f7d55c74",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08ce4efd581f44f5197d8e466f2c43b9",15,0,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0
"08f2d227116ccb3763d1fbc407858475",37,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
"097a65be6bb485e88dfb8d14fa82dae7",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d24ed3aa5dac11a25a099717066e722",48,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"0eb9f16da2166db94d716abf1114e4d3",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f04dcf7c6b73195d66f82fe76a1f6a4",214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f1aa17b87ff033aa2b20f4811fd429d",23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"1224b87f2fa2dfdc1a0e76367ca72f5c",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132ca0e8ed591fa20290b0341a2f8bb5",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160e3bbb57a5862403299610d8ef7146",29,0,39,0,52,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"16340426aaab4222abe66bebf4094e51",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16d2d9a62a620e35934c7d5439f2119c",24,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"192c3de8fd23674623d6cbe921672295",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19574c2436626efd7cf14f5dda6ee843",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c53da81ca4aa795b51de9084f47060b",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1e26199dc198672987a261096be56019",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1fe0d3981d88a5853f86ad84e0d10235",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204ff8d8b673ca8240e0e24e285489a6",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20cb76e3d092e3a2b485c74d04ed8e46",32,0,0,32,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"21a7a542ef0be2695a1cb68dec62074b",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22f254d6e601aa67bd58a0c35f91841b",108,0,0,0,0,63,0,50,40,0,12,0,92,88,29,0,43,64,0
"23098817dc8f0dadbe89c095b4a9b8e8",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24449517a1c7dec6c744d16325335616",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25e2d4aee0453680cb9acd38ed953f5b",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260b6d9864b77124059e6ce56310475e",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263b3349c41bce0258e9a68fdd38ed48",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265348787db8940237b64139f561cb19",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292eeb51a52c017638ead530cc70c53e",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
