"md5sum","taxon","level"
"00b5bb3b1cae64e4d2761e16fc91b2cb","Proboscia","genus"
"039a44f7c456a8d518a656d4bddb3594","Odontella sinensis","species"
"044e857fc8eb5fd22318010046f420af","Chaetoceros","genus"
"0dee4375a6cbe9d2a091e451b1a96370","Guinardia flaccida","species"
"14b113961e0805fb5e1bb3b40d828f52","Corethron inerme","species"
"14d6921f8bc3cf5beeb7e09e97590b44","Mediophyceae","class"
"1a3552c223231f0691e3309b22560e91","Thalassiosira","genus"
"1dd232dc11ab0be77562507e2cd0e920","NA","NA"
"1e603b319d769d234717b272f9ec8975","Bacillariophyceae","class"
"23f9d501a385822185c98c43e4aa6138","Odontella sinensis","species"
"2441f754a9a8bea98182423c1e6a7158","Rhizosolenia setigera","species"
"286d0a7b136ce52d173a14a049bc850a","Eucampia","genus"
"30191c0570b3035d38a5bc7cc8738a04","Actinocyclus curvulatus","species"
"306a2eb17ca434af18012e3022e25711","Rhizosolenianae ","superorder"
"361acffd0e91f5773bfb02e52fcb2c60","Thalassiosira tumida","species"
"383cc84a981b56d04f96f0be21dd64e4","Rhizosolenia shrubsolei","species"
"397910ebcdb4f9a593e2df561dc633a7","NA","NA"
"4e1edcb4e329a5b98ca74046f50a3330","Bacillariophyceae","class"
"50f50e84fa60a9cc983622dab6138115","NA","NA"
"5b2d83f3819947079d346cf06dd3b9dd","NA","NA"
"62e00c51a8e933d08fc96cfec5144a95","Odontella sinensis","species"
"65cc2b94239670a78850e9f6afda260e","Rhizosolenianae ","superorder"
"683e0a6d1346556f20c56daeeeeff403","Thalassiosira tumida","species"
"6d2848220b25d52137b36be6a85c69d9","Pseudo-nitzschia australis","species"
"7439fbf150289665aa6caa873eafc8af","Eucampia","genus"
"75e1bd21dc35335d7744c97ecf12417b","Guinardia flaccida","species"
"83866f324e2d4a759347ff72721f3af3","Mediophyceae","class"
"8414dafcda9e42b8a673e888e2fbf496","Navicula perminuta","species"
"871715bf8be0ca1ae9ae3c263fc36f6e","Coscinodiscophyceae","class"
"8cb0fcfac5a493640f2e00bd0ee70b77","Coscinodiscus radiatus","species"
"8fd6d889852840ef8c8863cebdc14d10","Chaetoceros","genus"
"91a0bf62bf8dc9a63294b12e76618a1f","Rhizosolenianae ","superorder"
"928371a2f97bb272473c6fd6d0af2b12","Chaetoceros rostratus","species"
"9e949bb32740add258ec93077b0c09aa","Asterionellopsis glacialis","species"
"ae808698d6131569f7b5a8abd09f497a","Proboscia","genus"
"b2e9f48be39b8f9377a419d4175b9b67","Thalassiosira weissflogii","species"
"ba6c7a54f4f24e0888797d4e062cda61","Bacillariophyceae","class"
"c4d788e6c265447f45dd4d78cf9ab7a3","Proboscia","genus"
"ce119ed148d7106582ddebac1983a3ec","Leptocylindrus","genus"
"cf7d6062d57f5919cac2af3d59d30b27","Bacillariophyceae","class"
"d43eb454762ead10d8b0d8e4ba30c93a","Mediophyceae","class"
"d48b807afa0c0eebbac0ec98aa538cf7","Corethron pennatum","species"
"d8ef5dceefca0c9784ea1b34c122161a","Thalassiosira tumida","species"
"d9fba6377f54ac59eb080a698fb80b5a","Proboscia","genus"
"dc494ebe10f117b338dafd6a7800cd60","Odontella sinensis","species"
"dd3d5f3e3c9ce26919e756a2f1c838ea","Odontella sinensis","species"
"e4fe00a262c34aae5094a38778b7d65b","Pseudo-nitzschia","genus"
"f2f8b6bc0f4f3b6be690e0bd0f740a20","Bacillariophyceae","class"
"f75ad4c6d7d0dc51a0a6c2f54ca770da","Chaetoceros","genus"
"fc299706603f994403ce7f061cf36ccf","Rhizosolenianae ","superorder"
